wo_id,source_id,open_time,close_time,asset_entered,corrected_asset,work_type,work_summary,status,downtime_min,loto_permit_id,loto_status,parts_claimed,technician_note,conflict_flag,trace_notes
WO-92001,WO-001,2026-08-03 07:10,2026-08-03 07:35,CHW-P2,CHWP-2,alarm response,low delta-T alarm and seal mist observed,closed,25,LOTO-4101,not required - observation only,none,operator reported visible mist at coupling guard,sequence only,no maintenance performed
WO-92006,WO-002,2026-08-04 09:15,2026-08-04 10:05,STR-402,STR-CHW2,strainer clean,opened suction strainer and removed lint film,closed,50,LOTO-4104,complete,GSK-STR-8-EPDM,basket cleaned; no DP taps installed yet,DP missing,no measured DP before taps
WO-92011,WO-003,2026-08-05 15:20,2026-08-05 16:05,CPL-402,CPL-CHWP-2,coupling service,replaced L-150 coupling spider,closed,45,LOTO-4107,complete,SPDR-L150-GRN,vibration remained above alarm after restart,open vibration,part verified but alignment not closed
WO-92018,WO-004,2026-08-06 08:30,2026-08-06 09:10,TT-CT4FAN-DE,TT-CHWP2-DE,BAS label correction,corrected BAS display label from CT4 fan DE to CHWP2 DE bearing,closed,0,none,not required - software label only,none,label corrected only,label conflict,physical location controls
WO-92027,WO-005,2026-08-07 11:20,2026-08-07 12:15,P-402,CHWP-2,seal repair,mechanical seal replaced and leak stopped,closed-complete,55,LOTO-4112,permit signed out before close,SEAL-CHW2-EPDM-SIC,seal job closed; no leak test attached,disputed seal,inventory conflicts with closeout
WO-92031,WO-006,2026-08-07 11:25,2026-08-07 11:40,CHWP-2A,CHWP-2,seal staging duplicate,duplicate created to stage correct seal kit,cancelled,0,LOTO-4112,same as WO-92027,SEAL-CHW2-EPDM-SIC reserved,cancelled duplicate of WO-92027,duplicate,reservation not physical issue
WO-92034,WO-007,2026-08-08 10:00,2026-08-08 14:50,MTR-402,CPL-CHWP-2,alignment,laser alignment completed; site tolerance pass,closed,120,LOTO-4118,missing verification signature,shim pack only,site pass noted; OEM not referenced,alignment pass conflict,alignment report shows OEM fail
WO-92041,WO-008,2026-08-08 15:05,2026-08-08 15:50,SFP-402,SFP-CHW2,flush gauge install,installed local seal flush gauge and recorded 17 psi,closed,0,LOTO-4119,complete,GAUGE-0-60-SS,first local flush pressure below minimum,low flush,pre-gauge readings unresolved
WO-92052,WO-009,2026-08-09 13:10,2026-08-09 14:30,STR-CHW2,STR-CHW2,DP taps,installed strainer upstream and downstream taps,closed,70,LOTO-4124,complete,TAP-KIT-CHW2,first valid DP after 14:30,instrument timing,no earlier measured DP
WO-92060,WO-010,2026-08-10 09:20,2026-08-10 11:15,HX402,HX-2,backflush,backflushed HX-2; reported clean,closed,80,LOTO-4130,incomplete - second lock missing,GSK-HX2-EPDM,DP remained high after restart,LOTO and DP conflict,needs complete LOTO and DP confirmation
WO-92067,WO-011,2026-08-11 07:40,2026-08-11 09:10,CT04,CT-4,tower basin clean,cleaned basin screens and verified blowdown solenoid operation,closed,0,LOTO-4134,not required - basin access only,none,approach improved but pump vibration persisted,contributor only,tower not pump root cause
WO-92072,WO-012,2026-08-12 09:30,2026-08-12 10:10,FT-402,FT-CHW2,BAS scaling correction,corrected BAS flow scaling from 0-2400 to 0-1800 gpm,closed,0,none,not required - software scaling,none,post-correction BAS agrees with ultrasonic,flow scaling,pre-correction values require rescale
WO-92081,WO-013,2026-08-13 08:00,2026-08-13 10:30,GB-404,GB-CT4,gearbox service,topped off gearbox oil and took vibration readings,closed,0,LOTO-4140,complete,ISO-VG220,gearbox readings normal,gearbox exonerated,oil top-off not rebuild
WO-92095,WO-014,2026-08-14 12:10,2026-08-14 13:20,BV-CT4,BV-410,valve check,checked BAS command and feedback; no hardware issue found,closed,0,LOTO-4144,not attached,none,no stroke calibration attached,stroke gap,trend position diagnostic only
WO-92102,WO-015,2026-08-15 08:05,2026-08-15 11:10,STR-203,STR-CHW2,strainer clean,basket 65 percent blinded with tower fill flakes and gasket fragments,closed,90,LOTO-4148,complete,GSK-STR-8-EPDM,post clean DP dropped,strainer contributor,vibration persisted
WO-92115,WO-016,2026-08-16 06:40,2026-08-16 08:20,CHWP-2,CHWP-2,post-event check,short chiller safety shutdown after low flow; no chiller fault found,closed,17,LOTO-4152,not required - running diagnostics,none,impact of condenser water issue,impact only,not independent chiller root cause
WO-92127,WO-017,2026-08-16 10:05,2026-08-16 10:40,CHWP-2,TT-CHWP2-DE,bearing inspection deferred,bearing temp exceeded review; inspection deferred pending alignment correction,deferred,0,LOTO-4155,not prepared,none,no bearing issue or inspection,unresolved,bearing failure not proven
WO-92018,WO-018,2026-08-03 00:00,2026-08-03 00:35,HX402,HX-2,monitoring,follow-up note only; no corrective work,closed,0,none,not required - inspection only,none,monitoring record added for trend continuity,none,context row
WO-92019,WO-019,2026-08-03 03:00,2026-08-03 03:35,SFP-402,SFP-CHW2,round correction,follow-up note only; no corrective work,closed,0,none,not required - inspection only,none,monitoring record added for trend continuity,none,context row
WO-92020,WO-020,2026-08-03 06:00,2026-08-03 06:35,CHWP-2,CHWP-2,monitoring,follow-up note only; no corrective work,closed,0,none,not required - inspection only,none,monitoring record added for trend continuity,none,context row
WO-92021,WO-021,2026-08-04 00:00,2026-08-04 00:35,CT04,CT-4,round correction,follow-up note only; no corrective work,closed,0,none,not required - inspection only,none,monitoring record added for trend continuity,none,context row
WO-92022,WO-022,2026-08-04 03:00,2026-08-04 03:35,HX402,HX-2,monitoring,follow-up note only; no corrective work,closed,0,none,not required - inspection only,none,monitoring record added for trend continuity,none,context row
WO-92023,WO-023,2026-08-04 06:00,2026-08-04 06:35,SFP-402,SFP-CHW2,round correction,follow-up note only; no corrective work,closed,0,none,not required - inspection only,none,monitoring record added for trend continuity,none,context row
WO-92024,WO-024,2026-08-05 00:00,2026-08-05 00:35,CHWP-2,CHWP-2,monitoring,follow-up note only; no corrective work,closed,0,none,not required - inspection only,none,monitoring record added for trend continuity,none,context row
WO-92025,WO-025,2026-08-05 03:00,2026-08-05 03:35,CT04,CT-4,round correction,follow-up note only; no corrective work,closed,0,none,not required - inspection only,none,monitoring record added for trend continuity,none,context row
WO-92026,WO-026,2026-08-05 06:00,2026-08-05 06:35,HX402,HX-2,monitoring,follow-up note only; no corrective work,closed,0,none,not required - inspection only,none,monitoring record added for trend continuity,none,context row
WO-92027,WO-027,2026-08-06 00:00,2026-08-06 00:35,SFP-402,SFP-CHW2,round correction,follow-up note only; no corrective work,closed,0,none,not required - inspection only,none,monitoring record added for trend continuity,none,context row
WO-92028,WO-028,2026-08-06 03:00,2026-08-06 03:35,CHWP-2,CHWP-2,monitoring,follow-up note only; no corrective work,closed,0,none,not required - inspection only,none,monitoring record added for trend continuity,none,context row
WO-92029,WO-029,2026-08-06 06:00,2026-08-06 06:35,CT04,CT-4,round correction,follow-up note only; no corrective work,closed,0,none,not required - inspection only,none,monitoring record added for trend continuity,none,context row
WO-92030,WO-030,2026-08-07 00:00,2026-08-07 00:35,HX402,HX-2,monitoring,follow-up note only; no corrective work,closed,0,none,not required - inspection only,none,monitoring record added for trend continuity,none,context row
WO-92031,WO-031,2026-08-07 03:00,2026-08-07 03:35,SFP-402,SFP-CHW2,round correction,follow-up note only; no corrective work,closed,0,none,not required - inspection only,none,monitoring record added for trend continuity,none,context row
WO-92032,WO-032,2026-08-07 06:00,2026-08-07 06:35,CHWP-2,CHWP-2,monitoring,follow-up note only; no corrective work,closed,0,none,not required - inspection only,none,monitoring record added for trend continuity,none,context row
WO-92033,WO-033,2026-08-08 00:00,2026-08-08 00:35,CT04,CT-4,round correction,follow-up note only; no corrective work,closed,0,none,not required - inspection only,none,monitoring record added for trend continuity,none,context row
WO-92034,WO-034,2026-08-08 03:00,2026-08-08 03:35,HX402,HX-2,monitoring,follow-up note only; no corrective work,closed,0,none,not required - inspection only,none,monitoring record added for trend continuity,none,context row
WO-92035,WO-035,2026-08-08 06:00,2026-08-08 06:35,SFP-402,SFP-CHW2,round correction,follow-up note only; no corrective work,closed,0,none,not required - inspection only,none,monitoring record added for trend continuity,none,context row
WO-92036,WO-036,2026-08-09 00:00,2026-08-09 00:35,CHWP-2,CHWP-2,monitoring,follow-up note only; no corrective work,closed,0,none,not required - inspection only,none,monitoring record added for trend continuity,none,context row
